ph	Hardness	Solids	Chloramines	Sulfate	Conductivity	Organic_carbon	Trihalomethanes	Turbidity	Potability
5.924.799.469.006.340	11.147.858.175.418.100	15.413.896.147.652.300	6.900.029.880.617.980	34.786.183.690.896.800	2.775.880.745.769.890	13.261.143.111.954.400	7.419.399.491.645.980	4.188.927.903.696.810	1
7.526.680.395.036.490	19.216.709.613.811.500	38.468.413.583.930.300	6.616.367.521.487.830	2.906.417.397.203.140	44.931.753.395.481.200	13.055.894.456.884.100	5.876.861.279.467.930	41.482.231.286.287.300	1
9.038.326.068.974.220	22.735.765.928.621.800	34.353.839.725.198.700	5.573.277.338.729.330	2.310.536.871.188.200	42.166.448.244.657.100	16.331.421.476.287.800	9.264.338.257.359.540	3.706.265.891.722.720	1
5.945.988.643.250.950	15.168.579.710.944.400	12.356.905.622.174.400	7.894.120.346.705.540	3.420.291.151.694.410	47.112.212.520.683.800	1.572.546.711.577.780	576.830.674.988.963	37.933.292.763.371.300	1
6.195.086.857.984.770	1.954.431.596.237.080	193.311.940.423.265	9.112.558.175.692.880	34.287.180.667.804.700	42.550.287.367.216.800	17.212.455.066.655.100	8.511.419.625.334.940	4.196.558.262.262.500	1
9.062.822.324.592.780	24.662.970.098.442.700	27.959.926.160.914.200	5.649.970.632.740.670	3.087.807.685.791.530	4.343.954.389.767.970	21.142.052.798.710.200	4.414.934.780.319.210	3.730.369.857.064.920	1
7.137.428.697.435.650	210.502.749.534.901	1.750.660.880.253.220	7.304.928.195.439.930	30.164.200.437.408.300	30.423.948.088.461	13.076.007.475.080.600	6.423.094.245.618.720	2.964.181.350.437.080	1
7.780.868.679.242.900	22.184.449.325.551.400	4.048.373.038.912.530	61.460.984.395.154.900	30.232.967.382.496.900	5.637.199.666.725.710	11.753.045.758.326.300	5.155.946.461.543.810	4.602.026.774.692.100	1
7.150.046.115.062.040	23.879.823.022.056.900	1.470.847.418.515.270	8.606.774.254.853.420	4.509.144.544.082.030	3.657.391.216.578.080	14.966.532.191.622.000	5.314.497.859.329.930	2.633.890.804.064.500	1
4.574.124.682.109.070	1.342.012.886.926.380	22.520.418.640.021.900	8.191.827.053.754.640	4.033.423.898.821.910	37.220.013.890.001.500	11.260.913.502.896.000	6.904.715.947.562.280	3.086.499.925.758.960	1
6.179.312.077.651.530	15.977.326.423.152.000	21.532.519.232.080.400	8.063.334.618.675.410	27.244.084.830.538.700	50.977.211.049.122.900	11.010.544.566.409.200	999.962.857.074.477	29.519.609.352.512.800	1
6.990.452.676.633.390	2.259.234.457.930.570	17.679.351.101.001.800	7.248.866.700.092.820	3.778.680.395.092.270	5.272.058.183.861.020	1.378.726.395.823.500	8.783.904.965.248.150	5.184.441.994.818.030	1
5.810.742.057.236.210	15.187.617.187.372.000	25.419.551.655.141.100	7.874.166.460.655.200	3.133.647.973.555.190	4.941.529.743.470.610	14.646.684.965.981.800	7.737.381.254.511.360	34.369.668.618.570.300	1
6.602.539.771.517.400	17.463.297.715.067.100	21.607.483.238.238.500	6.581.327.180.699.620	3.089.314.205.965.470	6.575.704.217.644.250	906.444.501.890.411	6.882.704.725.271.190	35.924.960.849.831.300	1
6.857.493.757.803.470	23.321.057.499.872.100	22.603.649.454.364.700	6.627.059.043.301.960	368.105.783.101.925	4.124.346.768.867.720	1.692.617.480.326.590	6.255.789.982.166.260	4.306.581.068.206.630	1
6.789.820.821.454.210	19.730.001.438.829.100	22.527.681.207.020.900	5.166.942.295.288.660	399.981.754.613.406	42.248.202.893.411.900	1.591.660.512.559.940	4.793.510.492.969.850	45.120.682.052.334.400	1
8.560.349.290.980.840	24.479.670.522.681.700	1.425.466.131.588.100	7.453.900.170.724.680	31.597.114.737.909.300	500.586.607.820.739	1.822.874.853.177.250	5.736.554.110.438.130	2.939.212.581.325.050	1
8.277.058.197.816.890	24.255.924.577.575.600	12.715.814.279.597.900	51.287.325.411.688.100	3.713.027.473.027.780	5.617.611.560.542.600	15.220.021.381.154.800	6.179.901.423.925.470	37.513.240.908.875.000	1
5.636.923.560.026.000	15.913.941.002.573.800	27.283.780.654.727.800	691.872.650.291.659	32.890.728.656.201.100	3.178.309.806.971.180	1.361.140.839.333.320	3.633.519.850.696.020	30.071.380.985.115.800	1
6.607.503.310.701.940	23.156.579.882.259.400	26.420.809.564.132.000	9.577.820.262.974.310	4.182.409.428.398.650	44.331.577.488.370.600	15.671.203.071.781.900	61.364.420.992.509.700	34.471.112.186.330.300	1
4.951.413.520.154.640	15.321.214.977.311.200	20.117.359.061.039.100	8.985.571.802.690.800	3.910.690.453.986.920	4.183.301.951.097.600	1.183.169.083.850.190	6.838.761.309.007.780	38.706.812.846.517.500	1
5.913.132.932.597.380	18.439.315.608.915.000	40.847.760.146.381.200	7.041.827.749.776.450	33.195.996.373.112.500	5.634.099.696.654.000	21.917.376.989.820.200	5.883.920.331.016.400	3.900.211.313.902.080	1
5.039.673.103.915.170	1.544.183.296.387.870	23.027.549.759.335.300	7.759.843.399.542.570	4.227.690.683.261.630	49.033.276.147.156.000	177.283.890.375.611	6.950.852.573.109.630	4.864.866.409.455.390	1
6.339.142.826.418.300	16.741.971.059.696.100	16.364.159.409.157.800	8.095.991.371.989.010	3.123.940.785.189.840	3.725.116.274.171.830	21.887.087.694.546.400	9.106.635.624.934.000	33.557.650.163.097.200	1
6.451.503.543.212.320	17.952.892.540.419.700	7.990.891.467.648.890	61.968.764.897.226	3.772.698.410.872.410	3.865.417.614.408.620	1.543.451.342.453.650	7.499.251.991.228.920	6.307.678.472.047.720	1
69.204.487.000.696.900	19.631.940.126.016.700	3.925.118.212.911.570	8.493.784.319.811.610	31.738.231.458.726.500	487.504.368.020.183	14.697.844.527.710.400	41.753.727.405.934.000	4.498.818.335.873.900	1
63.932.313.449.189.200	1.858.361.581.971.570	17.258.114.034.877.200	732.999.890.233.211	33.013.213.850.397.600	32.642.705.471.809.000	11.650.393.393.363.400	4.764.001.392.430.700	36.443.881.273.520.100	1
6.100.245.391.093	16.060.823.048.420.900	13.886.809.713.477.400	7.542.775.331.563.170	366.688.794.745.683	44.994.828.652.782.500	18.722.859.886.617.400	6.439.052.126.130.520	2.174.898.198.676.530	1
6.272.474.990.901.280	19.020.071.312.769.500	14.642.205.540.005.100	9.734.512.546.383.280	3.990.529.411.395.510	44.856.825.977.891.200	16.557.176.634.632.800	744.353.886.192.217	4.612.535.780.383.910	1
7.493.843.860.854.460	19.733.129.091.104.300	26.678.392.878.738.500	7.198.434.575.553.270	269.892.346.696.778	37.550.306.244.103.000	13.134.916.625.076.400	6.959.080.593.173.350	38.199.465.596.846.900	1
763.526.469.216.248	20.506.763.140.175.200	17.796.374.638.357.400	7.156.737.918.080.300	3.068.002.861.322.340	37.056.102.702.169.900	17.486.815.069.373.100	329.207.203.557.343	39.483.035.163.532.400	1
9.097.617.417.474.690	26.382.412.017.721.300	3.841.305.708.961.670	7.634.362.144.497.110	27.495.902.794.760.100	43.726.353.132.033.100	18.285.882.103.015.200	7.451.256.519.402.810	54.736.632.488.956.500	1
8.040.144.167.343.290	22.486.348.197.975.400	6.879.764.653.372.920	8.136.930.576.288.460	4.189.550.102.706.040	3.609.576.787.634.870	12.405.913.152.097.300	7.321.799.019.374.030	3.986.459.812.349.230	1
7.296.908.882.387.330	1.490.794.957.561.740	15.931.429.225.597.600	6.550.096.293.006.810	2.760.132.734.412.320	3.679.048.021.033.110	14.723.055.277.882.500	62.634.448.904.012.800	4.671.448.182.615.170	1
8.014.183.072.060.870	24.412.009.776.712.200	30.566.767.504.053.900	77.144.465.596.726.300	3.079.874.583.188.540	3.099.304.282.029.630	22.641.597.926.415.300	6.157.846.145.092.750	34.170.761.989.488.100	1
9.252.893.397.357.360	2.360.987.858.057.540	12.855.346.238.177.400	5.784.975.793.149.850	2.762.863.048.240.160	3.299.227.653.683.520	12.609.076.683.762.300	55.617.760.011.103.600	35.664.347.304.327.500	1
72.881.127.068.161.700	21.661.247.489.358.400	18.979.981.691.997.300	7.668.510.397.528.320	3.589.786.197.167.670	38.469.495.523.570.400	14.163.606.934.570.200	5.331.304.554.858.020	36.269.899.604.038.900	1
4.865.444.268.085.010	11.446.389.984.219.500	3.285.848.309.646.260	7.473.070.208.285.620	36.530.113.520.961.900	5.333.032.206.134.920	1.615.159.980.857.200	45.647.387.625.417.000	5.070.254.359.377.520	1
5.141.506.876.714.260	1.119.940.275.170.510	11.288.634.718.378.000	58.417.498.740.425.200	3.892.256.728.839.600	3.152.296.649.504.810	12.982.475.620.735.100	8.115.923.927.984.620	4.510.578.266.177.080	1
48.863.798.036.263.900	1.593.179.721.842.120	3.863.330.516.883.610	837.017.929.917.063	3.758.991.685.935.270	44.805.086.582.994.200	1.682.061.517.732.620	5.918.318.960.874.470	3.227.849.086.219.340	1
9.454.119.448.104.630	22.481.713.176.634.000	21.379.963.927.406.400	5.407.691.662.106.030	22.766.563.528.463.100	4.316.130.013.390.230	15.772.333.808.298.300	5.203.384.490.115.080	40.586.260.103.019	1
7.000.523.220.722.730	21.944.263.968.437.700	26.012.130.277.781.200	6.280.886.804.932.880	3.952.413.289.704.520	48.331.988.069.379.600	19.538.635.114.010.500	46.861.383.946.118.000	4.333.688.587.372.010	1
8.323.982.150.124.740	26.221.858.527.677.700	2.129.282.875.462.110	7.076.944.002.447.280	3.503.257.358.347.880	5.387.922.673.434.360	17.684.654.632.778.100	7.234.381.220.534.350	4.153.782.657.266.310	1
6.643.158.712.135.610	1.889.135.411.469.530	32.873.820.021.715.600	6.791.509.363.412.840	3.338.488.418.801.130	33.656.150.104.700.700	14.706.810.313.722.000	6.784.484.886.059.030	4.562.197.671.215.200	1
8.628.893.415.492.300	1.866.377.118.589.590	13.688.074.338.907.000	6.289.036.105.400.290	25.435.880.116.793.800	3.927.068.863.553.570	12.387.632.982.640.100	5.315.076.473.573.190	3.071.350.370.794.220	1
9.794.717.848.521.510	25.442.506.637.463.400	1.249.055.827.605.840	5.992.480.374.252.220	29.119.726.053.329.600	5.760.460.834.739.300	11.665.297.002.454.500	8.069.821.421.798.680	2.807.129.774.600.520	1
5.603.325.960.876.680	20.789.718.718.220.300	3.687.355.798.910.280	7.631.345.800.124.240	404.672.920.868.325	5.114.375.201.166.870	13.515.235.725.797.300	853.455.848.549.943	39.004.213.611.254.800	1
7.266.781.485.544.790	1.782.577.102.462.830	27.468.681.706.961.700	6.043.959.345.191.260	3.143.906.280.806.600	40.062.498.730.718.900	13.665.327.972.182.300	8.713.187.298.667.230	39.198.270.449.578.000	1
8.064.652.809.050.980	21.481.668.099.928.400	27.172.893.572.936.100	6.369.175.394.060.360	25.348.122.792.295.400	4.902.803.525.532.350	12.458.830.368.999.200	6.539.948.446.652.210	33.241.126.143.010.900	1
6.336.456.502.432.500	18.568.000.402.482.800	2.592.726.543.187.950	8.199.318.452.874.490	3.218.176.616.454.770	4.909.724.264.608.480	10.665.798.889.605.400	5.155.230.077.952.520	4.561.219.815.198.770	1
4.533.399.113.632.130	16.973.522.248.715.800	30.301.856.674.397.200	7.074.906.687.460.700	41.310.219.826.509.100	385.656.123.306.354	1.706.049.096.237.790	7.029.333.870.434.280	3.188.640.741.905.020	1
8.951.652.135.487.260	20.589.234.643.050.100	15.189.327.822.031.700	30.160.326.026.711.900	28.386.769.497.657.200	4.063.091.866.023.870	1.912.582.536.011.130	656.393.280.774.268	18.443.716.036.962.100	1
7.210.773.702.067.900	16.304.728.268.928.800	14.230.419.130.765.400	735.294.059.207.056	32.409.572.612.501.900	441.524.088.334.925	979.301.009.998.187	8.991.991.551.782.550	4.462.408.040.870.790	1
4.238.282.524.808.320	1.348.895.096.410.130	2.934.484.447.648.610	8.180.874.177.915.130	3.512.373.616.477.440	40.242.717.382.980.300	12.427.377.749.095.700	8.376.265.318.703.800	37.874.258.893.121.800	1
8.264.090.516.352.200	21.655.188.702.929.200	23.556.934.353.273.300	583.068.529.423.083	3.335.005.378.051.930	4.508.574.914.603.330	8.667.720.302.268.030	3.980.417.883.432.760	34.105.107.155.681.600	1
78.933.127.111.154.200	2.203.483.202.741.250	14.444.289.598.021.400	8.037.399.953.697.510	3.001.521.720.359.120	339.066.071.471.725	1.842.363.370.432.150	6.700.909.816.601.720	40.973.601.164.011.200	1
4.855.587.760.461.030	1.457.903.698.736.800	14.905.255.911.832.400	9.829.674.656.014.380	3.926.674.818.123.870	45.928.803.709.314.100	1.044.659.031.424.160	5.228.948.387.836.270	4.697.153.025.520.570	1
5.230.453.969.096.880	1.520.941.694.104.660	24.790.724.599.455.200	6.308.729.513.316.840	3.889.980.794.979.730	30.791.807.510.159.900	1.259.419.659.204.810	51.625.213.107.783.300	36.956.151.117.926.600	1
7.017.295.398.626.630	17.013.244.649.695.800	20.169.344.251.930.300	5.216.280.115.807.190	37.822.697.077.809.200	5.127.684.389.301.340	15.505.992.025.792.000	646.249.442.093.205	4.899.611.272.468.950	1
4.941.972.156.828.110	16.671.044.045.521.600	19.806.411.303.229.300	8.031.864.862.891.300	4.261.575.185.722.380	3.520.390.921.282.100	15.496.886.933.983.600	6.860.840.186.648.570	5.076.146.746.327.630	1
7.337.399.849.697.420	17.675.349.958.886.100	18.543.499.362.354.300	7.127.077.798.121.800	27.836.117.692.577.400	4.279.306.866.458.340	14.773.004.879.752.500	8.568.083.615.159.240	4.981.833.942.925.020	1
8.257.596.524.670.310	208.404.165.637.212	2.010.902.627.037.870	6.230.581.825.397.780	2.357.709.818.536.180	5.280.686.584.836.520	14.410.778.246.134.100	7.498.493.714.472.870	4.528.574.925.440.660	1
6.941.278.904.431.050	18.081.772.204.590.700	15.433.134.836.912.000	7.140.121.953.336.550	3.255.158.572.423.610	4.808.785.435.518.910	20.302.336.552.241.700	6.152.068.662.046.160	4.178.959.771.570.960	1
6.888.547.603.133.790	1.796.324.754.737.830	3.072.229.823.264.930	6.579.328.071.104.770	2.848.857.433.176.280	39.349.315.529.227.400	7.701.010.153.564.820	6.329.358.452.094.320	29.014.320.441.377.400	1
8.247.958.056.143.680	19.553.953.590.539.000	2.832.716.733.816.440	5.378.285.961.181.120	2.812.298.526.036.660	5.886.991.933.996.930	18.076.937.753.034.800	7.079.303.618.129.340	4.723.230.705.859.020	1
73.560.567.780.554.300	23.478.230.155.080.600	31.409.063.978.837.000	73.955.296.826.678	2.835.095.825.426.210	42.875.310.359.554.500	22.166.320.991.934.500	8.739.912.189.045.660	4.549.916.839.518.290	1
9.752.703.226.519.840	2.696.403.780.925.440	1.019.432.541.115.760	797.804.398.390.079	2.980.824.622.588.360	5.800.035.335.754.570	12.562.614.890.894.200	5.135.305.213.799.340	34.221.104.746.990.900	1
6.910.765.112.184.390	242.091.338.295.218	7.764.438.021.536.850	8.045.869.831.293.800	44.063.550.910.069.300	48.793.231.029.492.300	1.837.680.200.827.510	45.306.538.783.679.400	4.340.148.944.480.570	1
880.184.604.561.893	2.054.078.250.122.920	13.121.171.942.689.400	6.701.766.574.304.420	26.348.272.770.481.000	3.992.835.622.955.290	18.909.035.208.786.900	6.796.334.191.210.310	4.031.495.952.782.070	1
6.283.103.588.064.350	23.682.321.446.034.100	26.188.162.173.561.200	9.364.361.167.881.960	32.850.351.501.704.700	4.708.215.689.069.790	16.351.911.504.132.100	6.891.033.739.373.970	2.663.920.733.696.860	1
635.403.811.007.823	22.723.289.536.313.400	161.744.337.385.309	7.567.418.625.886.670	41.128.525.134.425.100	3.555.273.068.455.240	9.969.701.406.355.560	8.249.259.499.213.460	4.935.240.394.248.470	1
5.928.767.339.528.970	19.204.842.038.980.300	1.924.005.820.156.020	8.986.862.677.728.770	40.016.416.090.223.500	45.926.096.138.734.200	9.893.655.008.905	52.157.787.167.286.300	3.592.912.289.891.950	1
73.422.312.494.162.600	19.816.880.422.609.800	3.527.397.622.922.740	52.688.072.037.166.900	3.004.059.237.025.960	4.481.516.693.142.080	1.238.854.859.881.340	62.743.383.384.471.800	4.261.504.364.251.510	1
8.594.217.251.084.950	22.816.090.067.796.200	29.706.234.224.271.400	5.924.459.987.446.990	25.714.865.038.869.300	5.178.446.739.686.010	15.963.751.897.871.400	52.950.023.271.552.200	448.954.479.397.793	1
8.149.437.297.610.580	22.020.373.454.322.500	2.397.810.768.273.240	7.384.126.121.281.190	36.041.400.496.961.600	46.180.454.812.006.000	13.364.676.879.325.800	10.338.020.997.579.500	4.949.257.360.747.260	1
9.271.578.532.993.320	2.740.213.909.062.180	3.888.638.767.861.530	8.045.991.282.850.060	2.440.862.569.192.530	5.046.167.925.272.960	15.981.067.650.932.100	6.232.004.847.248.620	35.496.084.097.380.800	1
7.021.617.480.943.760	20.320.119.662.882.300	12.352.811.105.129.500	6.845.743.996.808.340	3.808.040.539.816.350	43.567.439.305.429.300	14.507.013.118.477.100	682.333.855.535.937	3.855.636.250.178.680	1
783.336.100.102.891	2.493.400.530.553.220	13.394.731.607.479.100	8.341.669.769.803.280	3.931.378.719.260.440	4.436.291.232.113.890	1.098.334.419.100.710	7.664.573.393.234.750	427.097.313.834.306	1
6.643.734.375.617.570	202.413.637.897.938	141.109.209.679.882	8.754.110.049.072.280	34.097.555.872.379.900	2.910.847.438.189.940	15.954.654.532.847.000	6.436.379.306.074.660	3.920.607.408.198.080	1
6.761.413.709.046.800	21.653.249.797.922.600	32.156.819.438.954.900	8.723.064.211.950.990	34.360.110.432.437.800	526.325.213.716.472	20.314.691.468.846.900	6.052.159.303.851.460	4.350.206.872.394.590	1
7.612.516.822.631.860	22.549.279.278.281.400	14.812.970.644.801.800	7.982.595.216.401.360	356.690.173.623.383	34.107.492.458.185.100	14.994.662.352.211.300	5.589.391.550.738.450	29.395.934.717.094.700	1
6.080.992.868.571.660	18.241.399.195.845.900	313.210.824.263.096	7.624.238.583.045.930	31.872.275.070.403.400	4.984.540.986.722.840	1.139.800.689.864.870	8.128.838.220.726.160	2.091.786.839.914.140	1
6.658.833.571.629.880	18.238.955.917.364.400	1.682.888.059.669.600	7.071.299.151.714.210	35.589.689.043.857.300	43.465.898.101.880.700	16.618.052.779.485.200	6.941.228.382.245.830	3.969.740.440.383.510	1
6.427.720.560.503.040	16.685.023.675.863.300	12.215.409.082.599.000	7.696.751.399.214.660	37.628.261.721.022.300	3.527.453.698.304.610	20.130.482.589.071.500	6.673.504.403.038.280	29.044.533.996.755.900	1
5.023.380.783.822.830	13.697.687.905.798.500	15.040.841.477.655.300	7.588.021.340.273.930	409.918.701.703.617	4.548.848.090.531.000	14.245.091.385.263.200	7.198.385.140.039.260	4.477.351.412.174.470	1
8.163.999.617.620.280	19.521.249.526.095.800	27.414.899.122.937.900	54.124.813.846.444.600	23.172.422.478.606.200	5.296.818.065.825.520	12.425.426.010.087.300	6.999.012.794.495.470	367.308.809.381.557	1
5.272.156.458.908.080	18.173.287.696.977.000	1.901.546.827.486.600	9.013.016.217.643.190	44.672.401.618.621.600	39.001.200.334.632.100	11.103.466.530.373.700	63.826.010.016.872.500	4.063.825.853.972.670	1
746.655.835.764.527	21.281.602.950.205.400	1.667.967.362.202.790	5.436.264.151.807.440	3.666.013.443.443.680	3.589.095.885.991.450	613.421.040.957.104	46.655.429.226.212.800	4.991.674.870.778.560	1
7.397.650.662.541.770	26.008.338.456.831.400	26.730.635.333.884.900	8.076.995.435.790.260	3.611.131.994.106.310	37.648.217.100.413.000	17.847.827.103.880.700	10.146.682.520.254.600	30.784.787.878.788.200	1
553.953.369.002.387	20.071.168.111.573.700	2.102.141.825.917.060	9.827.309.049.243.360	39.055.415.582.288.800	43.734.165.520.118.500	14.955.890.404.456.400	6.716.981.626.990.820	3.755.660.187.275.040	1
7.376.161.138.266.740	19.917.015.983.755.100	17.181.008.813.677.400	6.602.451.653.034.360	38.802.851.721.724.900	35.737.293.120.052.700	16.948.292.452.808.500	7.588.615.989.978.180	40.102.353.937.852.300	1
9.318.613.915.632.220	31.733.812.405.558.200	24.497.873.935.207.100	7.597.451.675.399.670	3.571.672.167.520.990	4.765.103.844.769.180	12.032.377.106.951.700	6.859.982.978.933.550	4.642.719.286.485.370	1
6.701.940.911.688.220	16.874.541.441.395.300	1.717.687.895.065.490	6.390.966.016.442.870	33.067.472.866.893.200	40.493.072.629.333.500	10.827.840.221.814.800	5.211.270.715.684.210	4.179.449.580.997.940	1
55.475.762.631.029.400	18.264.473.627.031.400	2.741.799.804.290.240	9.586.090.231.034.170	3.785.261.414.207.780	5.966.504.951.962.740	11.565.242.026.101.800	7.887.860.429.156.440	4.448.670.726.124.140	1
9.001.822.865.226.580	2.635.141.882.082.590	15.379.912.762.902.400	6.473.673.832.546.810	35.500.642.596.995.000	5.616.870.033.606.190	2.204.545.659.429.080	6.151.434.190.537.670	3.976.873.452.391.290	1
9.130.768.886.836.280	26.674.495.922.740.300	9.929.194.809.860.880	6.011.964.238.184.740	35.215.321.440.224.200	5.428.067.817.707.310	10.974.207.361.682.400	65.782.453.044.405	4.771.443.754.534.460	1
71.252.110.755.305.500	2.097.467.711.974.650	1.670.156.597.534.470	7.458.741.450.053.700	32.050.094.487.053.100	4.047.045.963.253.840	189.527.967.341.603	9.234.737.526.315.500	39.080.753.459.125	1
7.171.223.722.909.920	19.916.017.530.273.500	13.163.031.278.326.500	5.762.522.398.067.340	3.512.781.335.939.340	4.366.024.359.703.050	1.910.315.199.881.150	5.257.745.108.743.670	22.090.917.998.705.000	1
6.977.744.099.966.930	1.668.455.743.237.090	18.622.444.795.556.500	660.970.624.817.921	35.333.991.913.602.200	33.396.856.768.978.500	12.534.560.005.168.000	4.846.358.837.752.250	35.306.226.939.577.400	1
987.179.123.237.563	11.437.145.034.033.300	2.791.290.826.267.040	8.660.268.825.453.090	3.400.462.976.098.610	4.904.518.347.329.690	8.517.762.309.220.350	6.483.124.835.210.780	36.522.638.308.082.300	1
4.317.187.353.941.980	2.255.145.731.412.640	271.634.578.756.059	6.888.135.538.142.030	32.593.367.938.915.100	44.634.131.917.394.900	1.715.294.540.979.760	4.338.591.414.316.300	4.078.277.144.763.910	1
4.227.537.385.918.200	20.144.748.661.230.800	13.122.329.581.176.000	6.932.557.933.203.620	37.484.353.834.565.500	4.026.607.735.191.690	22.823.293.103.832.000	7.646.942.648.405.700	4.479.628.314.203.460	1
4.140.077.138.692.390	25.359.983.819.569.600	40.626.847.810.230.500	7.754.532.621.053.160	2.654.687.493.853.250	4.325.111.966.787.740	19.126.695.389.305.400	61.520.018.317.168.900	31.675.825.705.584.300	1
5.349.997.296.912.590	193.808.121.052.722	3.179.562.560.626.320	8.217.819.407.900.280	32.723.338.838.007.200	43.147.604.030.792.100	1.177.619.252.983.610	558.165.102.235.002	38.387.213.854.831.800	1
7.710.137.890.814.490	17.435.057.661.350.800	31.017.239.417.661.600	821.223.430.803.513	2.698.597.989.013.720	43.751.406.607.478.200	9.320.040.152.513.000	5.154.533.466.401.790	38.986.708.026.972.700	1
8.330.743.318.988.170	1.989.958.000.508.360	28.919.811.775.260.500	7.436.213.728.701.340	3.042.938.476.680.780	4.292.255.002.041.530	14.713.229.303.002.400	8.362.782.362.657.890	24.080.491.285.479.300	1
6.510.972.334.665.770	18.888.291.896.465.100	2.008.174.536.239.560	6.559.697.825.911.670	3.689.857.394.224.100	3.679.345.550.600.070	14.807.579.486.368.300	10.124.825.299.493.600	39.625.251.101.758.400	1
69.343.105.827.538.300	22.819.447.547.612.500	13.901.644.681.098.800	6.045.502.870.155.390	28.155.211.646.037.000	4.032.150.907.193.590	1.781.190.033.928.400	6.677.933.762.259.910	4.210.975.272.536.800	1
3.762.097.646.306.430	19.602.425.543.544.100	4.505.000.227.622.570	8.725.582.139.840.050	32.414.624.007.730.800	493.226.463.387.201	8.662.214.825.846.710	8.515.712.736.536.890	4.986.069.330.213.050	1
5.660.736.311.071.090	23.274.985.369.185.500	164.880.175.125.724	6.262.932.865.175.090	29.421.031.700.966.600	3.857.480.533.333.250	1.887.594.138.735.930	7.698.265.840.821.400	5.016.187.558.860.870	1
9.396.148.399.484.130	2.247.539.567.684.690	25.825.387.005.076.900	7.391.299.312.193.250	3.016.150.638.266.120	5.037.936.908.722.020	16.876.926.955.911.500	5.897.405.294.148.380	4.606.058.055.039.480	1
13.349.888.560.662.200	1.527.764.554.046.090	184.649.007.746.443	6.717.972.617.308.030	33.486.407.022.660.700	45.084.636.925.727.900	17.192.564.363.733.400	8.588.352.313.645.280	25.310.748.546.478.900	1
78.179.012.805.146.500	22.108.970.817.902.200	13.742.145.965.163.500	6.373.737.432.069.340	2.876.984.809.266.880	46.059.921.421.254.200	1.270.482.719.696.710	6.677.759.953.605.470	4.622.667.687.389.190	1
14.317.815.547.427.400	2.281.303.828.552.250	12.937.246.890.752.800	6.214.772.832.308.690	31.973.413.645.811.800	4.953.798.826.950.320	12.033.343.963.332.500	6.114.111.864.040.940	4.948.442.555.998.780	1
6.970.036.693.982.140	18.288.858.859.190.900	32.037.605.470.521.800	7.412.765.411.127.270	37.695.193.247.058.300	32.579.239.956.029.200	14.351.240.654.518.700	7.005.272.018.261.210	427.528.772.019.042	1
6.588.007.289.609.890	24.494.321.992.785.900	2.389.897.447.677.570	678.093.611.514.574	2.737.366.439.273.950	33.091.481.993.767.800	9.250.627.523.731.330	4.738.873.979.694.050	4.216.454.466.143.600	1
4.328.282.515.586.850	19.216.632.403.395.400	3.059.254.883.105.960	7.425.894.079.933.870	3.273.033.652.169.700	543.716.028.645.934	11.186.938.808.318.400	7.256.640.040.191.340	37.085.258.632.452.800	1
7.417.823.926.645.130	24.330.469.095.613.000	320.942.611.274.359	4.598.669.852.299.240	3.360.979.810.601.010	36.110.176.943.442.500	20.421.472.044.556.700	8.705.257.595.345.930	34.708.120.786.488.400	1
797.532.990.104.869	16.571.424.178.064.800	1.718.245.035.907.180	70.021.919.944.198.300	38.326.665.538.352.300	3.638.535.788.368.080	18.659.303.789.133.000	7.603.273.944.935.570	3.306.129.016.543.910	1
9.504.157.787.679.780	1.951.092.426.963.140	199.462.646.652.382	7.467.684.855.451.420	30.067.952.794.259.800	3.824.730.046.177.980	14.359.364.956.440.600	7.830.688.566.202.290	4.343.041.372.691.280	1
5.158.722.568.170.480	11.909.383.996.546.800	3.389.224.595.068.640	7.572.175.377.074.620	4.074.768.487.074.130	3.252.025.697.168.120	1.696.398.150.590.490	7.322.483.273.423.440	4.094.605.278.206.260	1
5.849.778.285.365.150	22.993.668.686.719.600	2.743.530.656.081.610	6.574.957.586.178.760	2.770.330.189.335.620	5.964.032.156.995.680	14.908.558.310.857.500	676.444.838.248.747	3.643.815.887.541.560	1
5.890.870.358.820.860	18.405.576.194.736.500	3.492.003.934.783.440	7.401.366.802.222.230	3.437.916.030.051.520	28.154.445.162.396.800	14.728.773.481.703.000	6.260.168.472.008.090	4.370.776.559.745.800	1
5.963.479.205.038.230	22.303.163.757.809.900	24.435.642.080.113.300	622.129.199.951.579	30.594.701.245.357.000	2.844.970.261.350.030	15.188.556.943.191.800	4.014.270.489.188.470	37.278.133.228.957	1
61.067.596.362.891.000	2.114.544.891.696.530	3.943.030.782.271.880	8.316.897.373.632.380	3.487.767.188.361.150	3.895.914.400.911.410	12.896.953.107.014.700	8.535.804.917.386.370	3.924.967.064.282.440	1
6.898.932.481.849.850	2.096.364.216.598.320	15.422.220.893.205.300	6.884.918.382.798.610	29.356.201.977.789.700	3.968.112.143.857.830	15.671.717.381.038.600	6.659.733.601.189.910	3.688.455.553.387.860	1
7.611.982.388.879.640	1.906.628.035.986.410	913.802.934.425.656	52.242.562.998.472.300	3.295.806.789.162.710	5.774.447.127.405.390	17.209.367.371.576.300	6.533.324.119.070.700	6.494.748.555.990.990	1
888.697.933.200.267	1.805.639.656.429.330	26.062.447.216.871.400	8.808.963.365.281.320	3.272.235.799.140.050	37.865.892.179.150.700	17.618.658.018.947.200	4.847.598.212.495.560	4.731.195.077.016.260	1
